temperature,energy,Cv
0.1,-439.37226564360725,108.40725632151589
0.2,-428.4989997227476,114.13855802602484
0.3,-417.2815311597834,115.09576338285116
0.4,-405.4811356627331,120.5001754591649
0.5,-393.48536195938425,122.96125149191357
0.6,-380.9616617261402,129.55097065512544
0.7,-367.1482694413506,143.4170946059511
0.7999999999999999,-351.40850368336385,157.33408995090485
0.8999999999999999,-334.2976973668347,192.4408565287588
0.9999999999999999,-309.73503396978913,270.8813533505746
1.0999999999999999,-286.5440499198182,286.21035442141095
1.2,-255.92962117514125,319.8772142984783
1.3,-232.64744278709972,271.19547741717264
1.4,-205.54569668123403,204.29031539376726
1.5,-186.0044929313911,163.87131411456113
1.5999999999999999,-169.1237733466871,134.99563347800603
1.7,-157.6319277607141,107.63833829548739
1.8,-146.1162977609578,106.52822610836779
1.9,-136.64522907460042,84.8507420958478
2.0,-127.89256183766446,72.15058208238543
2.0999999999999996,-121.48209491235055,67.27272913662352
2.1999999999999997,-114.17707950896185,64.96523745223304
2.3,-108.20855052676428,51.55934664844867
2.4,-105.57891441058595,51.8234810374237
2.5,-98.93191462177103,44.39470514953894
