temperature,energy,Cv,magnetization
0.1,-448.3277266998484,131.11215108801895,171.87641683515136
0.2,-451.5948989156026,88.10954248692761,207.60433198477523
0.3,-440.2461441257535,149.7612986831681,206.3897026734477
0.4,-427.6487094408534,69.71583870845294,200.8787848641698
0.5,-415.2613415751785,91.90945020038635,193.8528837924226
0.6,-397.4540655247556,97.90166817096588,190.03426144338647
0.7,-388.9236989049944,70.34483094490614,192.4012976694216
0.8,-374.05757330119195,132.36924797761276,181.64609422107338
0.85,-368.12627950060755,142.5160791467115,190.54456594670177
0.9,-354.71721969032154,181.97312089395396,163.9769035744671
1.0,-325.7990887016576,246.31513934793475,162.79535472955936
1.1,-294.6401156964812,301.7803580442699,130.10719853930473
1.2,-263.25266450914285,314.1772699442704,84.57662032905108
1.3,-223.29212798237242,268.5288239968036,65.93501536386992
1.4,-221.61525721442982,171.23771151845528,56.59038268358698
1.5,-197.33826997785852,129.4303799483783,42.683714603388715
1.6,-178.32783005398187,93.55928573341714,30.201117828991677
1.7,-166.44223446402842,97.0312418487895,35.841374274906045
1.8,-156.1242467245304,89.38788892190605,23.22390084515276
1.9,-144.48671206985534,86.13404717832564,8.836052993775409
2.0,-135.05671883771382,77.69283578211973,7.883028099874169
2.1,-123.84774085107395,67.2131702116745,6.43956893151018
2.2,-120.30137761767163,47.0391127309299,13.36990429509664
2.3,-111.95674158285404,44.13373555578965,7.645200927957067
2.4,-103.63613062920474,39.41893509266564,7.465168741807156
2.5,-94.90587069224128,25.154852996672243,5.387514948450047
2.6,-98.40118498119038,39.40128230573508,8.369789320843166
2.7,-97.5064690499348,30.64970042555643,13.673691878528365
2.8,-95.06336857946442,46.06032815021882,10.863156591592196
2.9,-89.5483579693806,28.8769261953735,4.885039245715221
